                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.1514,                0.77833,                      1,                0.29361,             0.00023681,             0.00023681,             0.00023681
                      2,                0.05057,                0.95167,                      1,                0.24121,             0.00047011,             0.00047011,             0.00047011
                      3,                0.03982,                0.93333,                      1,                0.24099,              0.0006987,              0.0006987,              0.0006987
                      4,                0.03163,                0.94667,                      1,                0.22979,             0.00069279,             0.00069279,             0.00069279
                      5,                0.02255,                   0.94,                      1,                0.23049,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01406,                0.95667,                      1,                0.22447,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00908,                0.96333,                      1,                0.22105,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00908,                  0.955,                      1,                 0.2254,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00849,                0.96333,                      1,                0.22161,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00795,                0.96667,                      1,                0.22132,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00768,                0.95333,                      1,                0.22479,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00441,                0.96833,                      1,                0.21891,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00484,                0.95833,                      1,                0.22329,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00215,                0.96667,                      1,                0.22001,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00401,                0.95667,                      1,                0.22344,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00363,                0.96833,                      1,                0.21938,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00365,                0.95833,                      1,                0.22258,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00481,                0.96667,                      1,                0.22318,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00926,                   0.95,                      1,                0.22439,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00539,                0.96167,                      1,                0.22209,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00881,                0.95333,                      1,                0.22605,              0.0005797,              0.0005797,              0.0005797
                     22,                0.01006,                  0.955,                      1,                0.22432,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00369,                0.95833,                      1,                0.22382,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00219,                0.96167,                      1,                0.22071,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00206,                  0.955,                      1,                0.22369,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00201,                0.96167,                      1,                0.22088,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00101,                  0.965,                      1,                0.22032,             0.00053728,             0.00053728,             0.00053728
                     28,                  0.001,                0.96333,                      1,                0.22035,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00107,                0.96333,                      1,                0.22078,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00076,                  0.965,                      1,                0.22008,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00079,                0.96167,                      1,                0.22029,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00062,                0.96167,                      1,                0.22034,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00041,                0.96333,                      1,                0.21957,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00039,                   0.96,                      1,                 0.2213,              0.0004878,              0.0004878,              0.0004878
                     35,                 0.0017,                0.96833,                      1,                0.21932,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00692,                   0.96,                      1,                0.22198,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00577,                0.95667,                      1,                0.22358,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00209,                  0.965,                      1,                   0.22,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00292,                0.95167,                      1,                0.22453,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00239,                0.96833,                      1,                0.21965,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00077,                0.96333,                      1,                0.22074,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00074,                  0.965,                      1,                0.22054,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00106,                0.96333,                      1,                0.22082,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00228,                0.96333,                      1,                0.22071,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00143,                   0.96,                      1,                0.22179,             0.00041005,             0.00041005,             0.00041005
                     46,                 0.0011,                0.97333,                      1,                0.21728,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00172,                0.96167,                      1,                0.22104,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00046,                0.96667,                      1,                0.21962,             0.00038884,             0.00038884,             0.00038884
                     49,                 0.0001,                0.96833,                      1,                0.21852,             0.00038178,             0.00038178,             0.00038178
                     50,                  5e-05,                0.96667,                      1,                0.21876,             0.00037471,             0.00037471,             0.00037471
                     51,                  5e-05,                0.96667,                      1,                 0.2188,             0.00036764,             0.00036764,             0.00036764
                     52,                  4e-05,                0.96667,                      1,                0.21915,             0.00036057,             0.00036057,             0.00036057
                     53,                  3e-05,                0.96667,                      1,                0.21899,              0.0003535,              0.0003535,              0.0003535
                     54,                  3e-05,                0.96667,                      1,                0.21889,             0.00034643,             0.00034643,             0.00034643
                     55,                  7e-05,                0.96667,                      1,                0.21995,             0.00033936,             0.00033936,             0.00033936
                     56,                  2e-05,                  0.965,                      1,                0.21989,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00011,                0.96833,                      1,                0.21903,             0.00032523,             0.00032523,             0.00032523
                     58,                  6e-05,                   0.97,                      1,                0.21867,             0.00031816,             0.00031816,             0.00031816
                     59,                  5e-05,                   0.97,                      1,                 0.2187,             0.00031109,             0.00031109,             0.00031109
                     60,                  3e-05,                   0.97,                      1,                0.21856,             0.00030402,             0.00030402,             0.00030402
                     61,                  2e-05,                0.96833,                      1,                0.21851,             0.00029695,             0.00029695,             0.00029695
                     62,                  2e-05,                0.96833,                      1,                0.21864,             0.00028988,             0.00028988,             0.00028988
                     63,                  3e-05,                   0.97,                      1,                0.21859,             0.00028282,             0.00028282,             0.00028282
                     64,                  3e-05,                0.96667,                      1,                0.21883,             0.00027575,             0.00027575,             0.00027575
