                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03883,                0.68333,                      1,                0.08053,              0.0002377,              0.0002377,              0.0002377
                      2,                0.03364,                0.90333,                      1,                0.06703,             0.00047099,             0.00047099,             0.00047099
                      3,                0.02623,                0.93833,                      1,                 0.0618,             0.00069957,             0.00069957,             0.00069957
                      4,                0.01754,                0.92167,                      1,                0.06414,             0.00069279,             0.00069279,             0.00069279
                      5,                0.01239,                  0.925,                      1,                0.06037,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01004,                  0.945,                      1,                0.05837,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00965,                  0.955,                      1,                0.05851,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00784,                0.95333,                      1,                0.05689,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00602,                0.95333,                      1,                0.05732,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00456,                   0.95,                      1,                 0.0574,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00429,                0.96667,                      1,                 0.0557,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00384,                   0.96,                      1,                0.05641,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00397,                0.94833,                      1,                0.05655,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00432,                0.96167,                      1,                0.05625,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00259,                  0.945,                      1,                0.05733,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00381,                  0.965,                      1,                0.05565,             0.00061504,             0.00061504,             0.00061504
                     17,                 0.0033,                   0.95,                      1,                0.05698,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00506,                0.95833,                      1,                0.05593,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00337,                0.95333,                      1,                0.05637,             0.00059383,             0.00059383,             0.00059383
