                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1318,                 8.7831,                 1.0701,                0.45115,                0.73321,                0.48525,                0.18489,                 2.1569,                 1.4179,                0.88902,              0.0033267,              0.0033267,              0.0033267
                      2,                  2.369,                 1.5286,                0.91156,                0.60982,                 0.6752,                0.62654,                0.25047,                 2.1139,                 1.3755,                0.87807,              0.0065941,              0.0065941,              0.0065941
                      3,                 2.2755,                 1.3983,                0.90456,                0.66313,                0.71554,                0.71342,                0.31473,                 1.8817,                  1.169,                0.85702,              0.0097955,              0.0097955,              0.0097955
                      4,                 2.1586,                 1.3592,                 0.8875,                0.66804,                0.70636,                0.70688,                 0.3094,                  1.884,                 1.2331,                0.85296,               0.009703,               0.009703,               0.009703
                      5,                 2.0025,                 1.2464,                0.87318,                 0.7672,                 0.7395,                0.77394,                0.37972,                 1.6999,                 1.0443,                0.85514,               0.009703,               0.009703,               0.009703
                      6,                 1.8786,                 1.1645,                0.86139,                0.72679,                 0.7595,                0.78095,                0.42075,                 1.5116,                0.99774,                0.82922,               0.009604,               0.009604,               0.009604
                      7,                 1.7971,                 1.0822,                0.85389,                0.78976,                  0.808,                0.84326,                0.45308,                 1.5444,                0.95105,                0.82921,               0.009505,               0.009505,               0.009505
                      8,                 1.7734,                 1.0509,                0.84793,                0.83333,                  0.817,                0.86539,                0.49551,                 1.4137,                0.87515,                0.81741,               0.009406,               0.009406,               0.009406
                      9,                 1.6778,                 1.0112,                0.84471,                0.86812,                 0.8155,                 0.8791,                0.49641,                 1.4385,                0.89468,                0.82001,               0.009307,               0.009307,               0.009307
                     10,                 1.6703,                0.98737,                0.84382,                0.83573,                 0.8265,                 0.8819,                0.49662,                 1.4656,                0.87684,                0.81725,               0.009208,               0.009208,               0.009208
                     11,                 1.6201,                 0.9678,                0.83793,                0.87629,                0.86062,                0.91344,                0.54069,                 1.3875,                0.77869,                0.80964,               0.009109,               0.009109,               0.009109
                     12,                 1.5756,                0.91197,                0.83886,                0.87094,                0.86376,                 0.9092,                0.54347,                 1.3555,                0.75538,                0.81088,                0.00901,                0.00901,                0.00901
                     13,                 1.5582,                0.87265,                0.83441,                0.88549,                 0.8505,                0.90752,                  0.556,                 1.3223,                0.76785,                0.80603,               0.008911,               0.008911,               0.008911
                     14,                 1.5301,                0.85227,                 0.8289,                0.89326,                 0.8705,                0.92525,                0.57954,                 1.2618,                0.72923,                0.80612,               0.008812,               0.008812,               0.008812
                     15,                 1.5158,                0.85944,                0.83002,                0.91071,                 0.8925,                0.93671,                0.57108,                 1.3274,                0.69581,                0.80617,               0.008713,               0.008713,               0.008713
                     16,                 1.4924,                 0.8411,                0.82466,                0.90223,                  0.889,                0.93107,                0.58736,                 1.2349,                 0.6872,                0.80335,               0.008614,               0.008614,               0.008614
                     17,                  1.488,                0.82657,                0.83084,                0.91956,                 0.9015,                0.94341,                 0.5808,                  1.291,                0.67732,                0.80267,               0.008515,               0.008515,               0.008515
                     18,                 1.4556,                0.80236,                0.82542,                 0.9059,                 0.8985,                0.93771,                0.58376,                 1.2677,                 0.6872,                0.80277,               0.008416,               0.008416,               0.008416
                     19,                 1.4773,                0.81023,                0.82762,                0.92376,                  0.918,                0.95075,                0.60522,                 1.2274,                0.64286,                0.79902,               0.008317,               0.008317,               0.008317
                     20,                 1.4416,                0.79873,                0.82389,                0.91419,                  0.918,                0.94841,                0.61247,                 1.2189,                0.65033,                0.79985,               0.008218,               0.008218,               0.008218
                     21,                  1.438,                0.77807,                0.82226,                0.91894,                 0.9045,                0.94665,                 0.6106,                 1.2238,                0.65231,                0.79823,               0.008119,               0.008119,               0.008119
                     22,                 1.4112,                0.75079,                0.81833,                0.91974,                 0.9195,                0.95276,                0.62465,                 1.1598,                0.62316,                0.79324,                0.00802,                0.00802,                0.00802
                     23,                  1.406,                0.76152,                0.82289,                0.92228,                0.90774,                0.95315,                0.60401,                 1.2413,                0.65312,                0.80008,               0.007921,               0.007921,               0.007921
                     24,                 1.4088,                0.75139,                0.82415,                0.92545,                0.91236,                0.94738,                0.60536,                  1.223,                0.64548,                0.79701,               0.007822,               0.007822,               0.007822
                     25,                 1.4181,                0.75906,                0.82124,                0.92387,                 0.9085,                 0.9497,                0.61197,                 1.2138,                0.63373,                0.79639,               0.007723,               0.007723,               0.007723
                     26,                 1.3657,                0.72804,                0.81917,                0.92587,                  0.911,                 0.9521,                 0.6185,                 1.1995,                0.62311,                0.79373,               0.007624,               0.007624,               0.007624
                     27,                 1.3747,                0.74126,                0.81955,                0.93949,                  0.931,                0.96208,                0.63412,                 1.1561,                0.59113,                0.79238,               0.007525,               0.007525,               0.007525
                     28,                 1.3585,                0.70348,                0.81604,                0.93648,                 0.9255,                0.95577,                0.62869,                 1.1763,                 0.6007,                0.79323,               0.007426,               0.007426,               0.007426
                     29,                 1.3505,                 0.7099,                0.81516,                0.92888,                0.92728,                0.95814,                0.64002,                 1.1362,                0.59571,                0.79013,               0.007327,               0.007327,               0.007327
                     30,                 1.3572,                0.70191,                0.81472,                0.94282,                  0.916,                0.95635,                0.64794,                 1.1244,                0.58677,                 0.7905,               0.007228,               0.007228,               0.007228
                     31,                 1.3426,                0.70837,                0.81411,                0.93804,                0.92352,                0.96218,                0.65156,                 1.1183,                0.57175,                0.78939,               0.007129,               0.007129,               0.007129
                     32,                 1.3288,                0.68219,                0.81874,                0.94917,                  0.931,                0.96621,                0.64799,                 1.1216,                0.56772,                0.78873,                0.00703,                0.00703,                0.00703
                     33,                 1.3041,                0.68608,                0.81509,                0.94463,                0.92986,                0.96471,                0.65275,                 1.1133,                0.56729,                0.78927,               0.006931,               0.006931,               0.006931
                     34,                 1.3106,                0.68444,                0.81682,                0.94606,                 0.9384,                0.96509,                0.65704,                  1.105,                0.57044,                0.78908,               0.006832,               0.006832,               0.006832
                     35,                 1.3101,                0.67944,                0.81399,                0.94417,                  0.934,                0.96547,                0.65197,                 1.1162,                0.56043,                0.78924,               0.006733,               0.006733,               0.006733
                     36,                 1.3049,                0.68064,                0.81629,                0.94546,                  0.928,                0.96392,                0.65529,                 1.0904,                 0.5588,                0.78886,               0.006634,               0.006634,               0.006634
                     37,                  1.296,                0.65868,                0.81165,                0.94852,                   0.94,                0.96782,                  0.667,                 1.0835,                0.54125,                0.78579,               0.006535,               0.006535,               0.006535
                     38,                 1.2752,                0.65543,                0.80787,                0.95428,                0.92884,                0.96618,                0.66568,                 1.0857,                0.54036,                0.78639,               0.006436,               0.006436,               0.006436
                     39,                  1.284,                0.66863,                0.81068,                 0.9567,                0.93906,                 0.9712,                0.66677,                 1.0837,                0.53444,                 0.7857,               0.006337,               0.006337,               0.006337
                     40,                 1.2746,                0.66061,                0.81037,                0.95224,                0.93702,                0.96845,                 0.6668,                 1.0775,                0.53212,                0.78556,               0.006238,               0.006238,               0.006238
                     41,                 1.2658,                0.63855,                 0.8122,                0.95302,                 0.9385,                0.97045,                0.67132,                  1.076,                0.54229,                0.78575,               0.006139,               0.006139,               0.006139
                     42,                 1.2677,                0.64549,                0.81055,                0.95287,                 0.9295,                0.96699,                0.67523,                 1.0605,                0.54062,                0.78565,                0.00604,                0.00604,                0.00604
                     43,                  1.261,                0.64086,                0.80908,                 0.9528,                 0.9335,                0.97057,                0.67476,                  1.046,                0.53791,                0.78327,               0.005941,               0.005941,               0.005941
