                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0084,                 11.293,                 1.1074,                0.43427,                0.71774,                0.43096,                0.14772,                  2.232,                  1.547,                0.94469,             0.00023705,             0.00023705,             0.00023705
                      2,                 2.2213,                 1.6905,                0.93105,                0.49548,                  0.806,                0.56188,                0.25171,                 1.7856,                 1.3363,                0.89549,             0.00047035,             0.00047035,             0.00047035
                      3,                 1.9799,                 1.4409,                0.90231,                0.47811,                  0.853,                0.55643,                0.27445,                 1.7187,                 1.2632,                0.89376,             0.00069893,             0.00069893,             0.00069893
                      4,                 1.9094,                 1.3876,                0.89472,                0.50214,                0.81293,                0.54686,                 0.2835,                 1.6844,                 1.2378,                0.87959,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.7747,                 1.2732,                0.87406,                0.50256,                0.85673,                0.58176,                0.31739,                 1.5087,                 1.2009,                0.86853,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.7076,                 1.2721,                 0.8652,                0.50489,                  0.842,                0.59534,                0.34265,                 1.4543,                 1.2435,                0.86408,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.6322,                 1.2187,                0.85823,                0.54919,                  0.848,                0.65035,                0.37625,                  1.401,                 1.1348,                0.86052,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.6261,                 1.1837,                0.85548,                0.57944,                0.80326,                0.67735,                0.37783,                 1.4581,                 1.1282,                0.86629,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.5149,                 1.1282,                0.84865,                0.58688,                0.81969,                0.70613,                0.40743,                 1.3585,                 1.1035,                0.85423,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.5196,                 1.1183,                0.84632,                0.64982,                   0.78,                0.71636,                0.44321,                 1.3064,                 1.1095,                0.84892,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.4784,                  1.079,                0.83846,                0.66053,                0.81332,                0.73129,                0.45786,                  1.292,                 1.0418,                0.84827,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.4466,                 1.0415,                0.83469,                0.67503,                  0.784,                0.75656,                0.48347,                 1.2811,                 1.0121,                0.85203,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.4219,                 1.0563,                0.83317,                0.65303,                0.77356,                0.73156,                0.43824,                  1.325,                 1.0581,                0.84887,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.4136,                 1.0235,                0.83381,                0.69805,                    0.8,                0.79836,                0.51563,                 1.2549,                0.96988,                0.84853,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.3846,                 1.0025,                0.83132,                0.68592,                  0.796,                0.76462,                0.47614,                 1.2462,                0.98637,                 0.8434,             0.00062211,             0.00062211,             0.00062211
